Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
bien	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_33849-33876	Et je l'avais bien mérité. 	yoleneconstable_1620763700648_40736-38686131	yoleneconstable	Et je l'avais bien mérité.	Proposition	bien mérité	Montree	Complexe	Aucun	Culpabilite	Aucune	bien
mérité	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_33849-33876	Et je l'avais bien mérité. 	yoleneconstable_1620763700648_40736-38686131	yoleneconstable	Et je l'avais bien mérité.	Proposition	bien mérité	Montree	Complexe	Aucun	Culpabilite	Aucune	mériter
J'avais	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34783-34811	J'avais l'indice, le signe !	yoleneconstable_1620739546272_40736-38686131	yoleneconstable	J'avais l'indice, le signe	Proposition	J'avais l'indice, le signe	Montree	Base	Aucun	Joie	Aucune	il
l'indice	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34783-34811	J'avais l'indice, le signe !	yoleneconstable_1620739546272_40736-38686131	yoleneconstable	J'avais l'indice, le signe	Proposition	J'avais l'indice, le signe	Montree	Base	Aucun	Joie	Aucune	le
le	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34783-34811	J'avais l'indice, le signe !	yoleneconstable_1620739546272_40736-38686131	yoleneconstable	J'avais l'indice, le signe	Proposition	J'avais l'indice, le signe	Montree	Base	Aucun	Joie	Aucune	le
signe	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34783-34811	J'avais l'indice, le signe !	yoleneconstable_1620739546272_40736-38686131	yoleneconstable	J'avais l'indice, le signe	Proposition	J'avais l'indice, le signe	Montree	Base	Aucun	Joie	Aucune	signe
Frrrintek	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34811-34835	- Frrrintek, Frrrintek. 	yoleneconstable_1618562039669_40736-38686131	yoleneconstable	Frrrintek, Frrrintek	SN	Frrrintek, Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek
Frrrintek	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34811-34835	- Frrrintek, Frrrintek. 	yoleneconstable_1618562039669_40736-38686131	yoleneconstable	Frrrintek, Frrrintek	SN	Frrrintek, Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek
Réveille-toi	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34835-34850	Réveille-toi ! 	yoleneconstable_1620739639074_40736-38686131	yoleneconstable	Réveille-toi	Proposition	Réveille-toi	Montree	Base	Aucun	Joie	Aucune	Réveille-toi
Frrrintek	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34872-34883	Frrrintek !	yoleneconstable_1622838362875_40736-38686131	yoleneconstable	Frrrintek	SN	Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek
Qu'est-ce	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34883-34907	- Qu'est-ce qu'il y a ? 	yoleneconstable_1618562054056_40736-38686131	yoleneconstable	Qu'est-ce qu'il y a ?	Proposition	Qu'est-ce qu'il y a ?	Montree	Base	Aucun	Surprise	Aucune	qu'er
qu'il	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34883-34907	- Qu'est-ce qu'il y a ? 	yoleneconstable_1618562054056_40736-38686131	yoleneconstable	Qu'est-ce qu'il y a ?	Proposition	Qu'est-ce qu'il y a ?	Montree	Base	Aucun	Surprise	Aucune	que
y	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34883-34907	- Qu'est-ce qu'il y a ? 	yoleneconstable_1618562054056_40736-38686131	yoleneconstable	Qu'est-ce qu'il y a ?	Proposition	Qu'est-ce qu'il y a ?	Montree	Base	Aucun	Surprise	Aucune	y
a	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34883-34907	- Qu'est-ce qu'il y a ? 	yoleneconstable_1618562054056_40736-38686131	yoleneconstable	Qu'est-ce qu'il y a ?	Proposition	Qu'est-ce qu'il y a ?	Montree	Base	Aucun	Surprise	Aucune	à
T'es	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34907-34925	T'es fou ou quoi ?	yoleneconstable_1620764814679_40736-38686131	yoleneconstable	T'es fou ou quoi ?	Proposition	T'es fou ou quoi ?	Montree	Base	Aucun	Colere	Aucune	il
fou	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34907-34925	T'es fou ou quoi ?	yoleneconstable_1620764814679_40736-38686131	yoleneconstable	T'es fou ou quoi ?	Proposition	T'es fou ou quoi ?	Montree	Base	Aucun	Colere	Aucune	fou
ou	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34907-34925	T'es fou ou quoi ?	yoleneconstable_1620764814679_40736-38686131	yoleneconstable	T'es fou ou quoi ?	Proposition	T'es fou ou quoi ?	Montree	Base	Aucun	Colere	Aucune	ou
quoi	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34907-34925	T'es fou ou quoi ?	yoleneconstable_1620764814679_40736-38686131	yoleneconstable	T'es fou ou quoi ?	Proposition	T'es fou ou quoi ?	Montree	Base	Aucun	Colere	Aucune	quoi
génial	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34925-34947	- Non, je suis génial.	yoleneconstable_1620739665065_40736-38686131	yoleneconstable	génial	SAdj	génial	Montree	Complexe	Base	Fierte	Joie	génial
Pousse-toi	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35046-35076	- Pousse-toi de là, Grondouk. 	yoleneconstable_1618562086637_40736-38686131	yoleneconstable	Pousse-toi de là, Grondouk	Proposition	Pousse-toi	Montree	Base	Aucun	Colere	Aucune	Pousse-toi
Je	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35076-35096	Je suis pas ta mère.	yoleneconstable_1620740031833_40736-38686131	yoleneconstable	Je suis pas ta mère.	Proposition	Je suis pas ta mère	Montree	Base	Aucun	Colere	Aucune	il
suis	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35076-35096	Je suis pas ta mère.	yoleneconstable_1620740031833_40736-38686131	yoleneconstable	Je suis pas ta mère.	Proposition	Je suis pas ta mère	Montree	Base	Aucun	Colere	Aucune	être
pas	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35076-35096	Je suis pas ta mère.	yoleneconstable_1620740031833_40736-38686131	yoleneconstable	Je suis pas ta mère.	Proposition	Je suis pas ta mère	Montree	Base	Aucun	Colere	Aucune	pas
ta	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35076-35096	Je suis pas ta mère.	yoleneconstable_1620740031833_40736-38686131	yoleneconstable	Je suis pas ta mère.	Proposition	Je suis pas ta mère	Montree	Base	Aucun	Colere	Aucune	ta
mère	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35076-35096	Je suis pas ta mère.	yoleneconstable_1620740031833_40736-38686131	yoleneconstable	Je suis pas ta mère.	Proposition	Je suis pas ta mère	Montree	Base	Aucun	Colere	Aucune	mère
c'est	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35162-35229	- Si t'as pas eu le temps de faire tes devoirs, c'est pas ma faute.	yoleneconstable_1620895265911_40736-38686131	yoleneconstable	c'est pas ma faute.	Proposition	c'est pas ma faute	Montree	Base	Aucun	Colere	Aucune	ce
pas	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35162-35229	- Si t'as pas eu le temps de faire tes devoirs, c'est pas ma faute.	yoleneconstable_1620895265911_40736-38686131	yoleneconstable	c'est pas ma faute.	Proposition	c'est pas ma faute	Montree	Base	Aucun	Colere	Aucune	pas
ma	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35162-35229	- Si t'as pas eu le temps de faire tes devoirs, c'est pas ma faute.	yoleneconstable_1620895265911_40736-38686131	yoleneconstable	c'est pas ma faute.	Proposition	c'est pas ma faute	Montree	Base	Aucun	Colere	Aucune	son
faute	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35162-35229	- Si t'as pas eu le temps de faire tes devoirs, c'est pas ma faute.	yoleneconstable_1620895265911_40736-38686131	yoleneconstable	c'est pas ma faute.	Proposition	c'est pas ma faute	Montree	Base	Aucun	Colere	Aucune	faute
ça	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	ça
n	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	n
a	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	à
rien	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	rien
à	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	à
voir	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35229-35279	- Ça n'a rien à voir avec mes devoirs, Frrrintek. 	yoleneconstable_1620895934558_40736-38686131	yoleneconstable	Ça n'a rien à voir avec mes devoirs	Proposition	ça n'a rien à voir	Montree	Base	Aucun	Colere	Aucune	voir
si	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35308-35407	Il s'est relevé sur un coude et m'a regardé d'un oeil si noir que même dans le noir, je le voyais. 	yoleneconstable_1620895545970_40736-38686131	yoleneconstable	si	SAdv	si	Montree	Base	Aucun	Peur	Aucune	si
Mais	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35624-35660	- Mais c'est qui, alors, Grondouk ? 	yoleneconstable_1618562165816_40736-38686131	yoleneconstable	Mais c'est qui, alors, Grondouk ?	Proposition	Mais ; qui ; ?	Montree	Base	Aucun	Surprise	Aucune	mais
qui	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35624-35660	- Mais c'est qui, alors, Grondouk ? 	yoleneconstable_1618562165816_40736-38686131	yoleneconstable	Mais c'est qui, alors, Grondouk ?	Proposition	Mais ; qui ; ?	Montree	Base	Aucun	Surprise	Aucune	qui
Qui	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35660-35686	Qui a écrit cette lettre ?	yoleneconstable_1620740518267_40736-38686131	yoleneconstable	Qui a écrit cette lettre ?	Proposition	Qui ; ?	Montree	Base	Aucun	Surprise	Aucune	qui
Vladimir	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35765-35803	- Vladimir ! s'est exclamé Frrrintek. 	yoleneconstable_1618562194100_40736-38686131	yoleneconstable	Vladimir	SN	Vladimir	Montree	Base	Aucun	Colere	Aucune	Vladimir
rat	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35803-35825	Quel rat ce Vladimir !	yoleneconstable_1618562196742_40736-38686131	yoleneconstable	Quel rat ce Vladimir	SN	rat	Montree	Base	Aucun	Colere	Aucune	rat
il	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36029-36091	En plus, dans mon épilogue, il n'y a que des bonnes nouvelles.	yoleneconstable_1620896651853_40736-38686131	yoleneconstable	il n'y a que	Proposition	il n'y a que	Montree	Base	Aucun	Joie	Aucune	il
n	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36029-36091	En plus, dans mon épilogue, il n'y a que des bonnes nouvelles.	yoleneconstable_1620896651853_40736-38686131	yoleneconstable	il n'y a que	Proposition	il n'y a que	Montree	Base	Aucun	Joie	Aucune	n
y	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36029-36091	En plus, dans mon épilogue, il n'y a que des bonnes nouvelles.	yoleneconstable_1620896651853_40736-38686131	yoleneconstable	il n'y a que	Proposition	il n'y a que	Montree	Base	Aucun	Joie	Aucune	y
a	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36029-36091	En plus, dans mon épilogue, il n'y a que des bonnes nouvelles.	yoleneconstable_1620896651853_40736-38686131	yoleneconstable	il n'y a que	Proposition	il n'y a que	Montree	Base	Aucun	Joie	Aucune	à
que	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36029-36091	En plus, dans mon épilogue, il n'y a que des bonnes nouvelles.	yoleneconstable_1620896651853_40736-38686131	yoleneconstable	il n'y a que	Proposition	il n'y a que	Montree	Base	Aucun	Joie	Aucune	que
très	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36315-36402	Deuxièmement : Mon rendez-vous avec mes parents et la maîtresse s'est très bien passé. 	yoleneconstable_1620897402885_40736-38686131	yoleneconstable	s'est très bien passé.	Proposition	très bien passé	Montree	Base	Aucun	Joie	Aucune	très
bien	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36315-36402	Deuxièmement : Mon rendez-vous avec mes parents et la maîtresse s'est très bien passé. 	yoleneconstable_1620897402885_40736-38686131	yoleneconstable	s'est très bien passé.	Proposition	très bien passé	Montree	Base	Aucun	Joie	Aucune	bien
passé	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_36315-36402	Deuxièmement : Mon rendez-vous avec mes parents et la maîtresse s'est très bien passé. 	yoleneconstable_1620897402885_40736-38686131	yoleneconstable	s'est très bien passé.	Proposition	très bien passé	Montree	Base	Aucun	Joie	Aucune	passer
mais	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_37420-37476	Mais ça, comme vous savez, c'est ma petite arme secrète.	yoleneconstable_1620899189911_40736-38686131	yoleneconstable	Mais ça, comme vous savez	Proposition	mais ça	Montree	Complexe	Aucun	Fierte	Aucune	mais
ça	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_37420-37476	Mais ça, comme vous savez, c'est ma petite arme secrète.	yoleneconstable_1620899189911_40736-38686131	yoleneconstable	Mais ça, comme vous savez	Proposition	mais ça	Montree	Complexe	Aucun	Fierte	Aucune	ça
mieux	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_38217-38263	C'est mieux que le chocolat après le dessert. 	yoleneconstable_1620900259360_40736-38686131	yoleneconstable	C'est mieux que	Proposition	mieux que	Montree	Complexe	Aucun	Fierte	Aucune	mieux
que	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_38217-38263	C'est mieux que le chocolat après le dessert. 	yoleneconstable_1620900259360_40736-38686131	yoleneconstable	C'est mieux que	Proposition	mieux que	Montree	Complexe	Aucun	Fierte	Aucune	que
alors	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_39228-39251	- Et la lettre, alors ?	yoleneconstable_1620901802855_40736-38686131	yoleneconstable	alors	SAdv	alors ?	Montree	Base	Aucun	Surprise	Aucune	alors
quand	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_39383-39420	C'est quand même un drôle de hasard. 	yoleneconstable_1621787936781_40736-38686131	yoleneconstable	quand même	SAdv	quand même	Montree	Base	Aucun	Surprise	Aucune	quand
même	FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_39383-39420	C'est quand même un drôle de hasard. 	yoleneconstable_1621787936781_40736-38686131	yoleneconstable	quand même	SAdv	quand même	Montree	Base	Aucun	Surprise	Aucune	même
bien	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218659635_25740-35036496	alessieux	bien sûr	SAdv	bien sûr	Montree	Base	Aucun	Joie	Aucune	bien
sûr	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218659635_25740-35036496	alessieux	bien sûr	SAdv	bien sûr	Montree	Base	Aucun	Joie	Aucune	sûr
pardon	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218856746_25740-35036496	alessieux	pardon	SN	pardon	Montree	Base	Aucun	Joie	Aucune	pardon
oh	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218855266_25740-35036496	alessieux	oh	Interjection	oh	Montree	Base	Aucun	Joie	Aucune	oh
hourrah	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1616065539895_25740-35036496	alessieux	hourrah	Interjection	hourrah	Montree	Base	Aucun	Joie	Aucune	hourral
Aidez-moi	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1243-1392	- Aidez-moi, les garçons ! a-t-elle dit avec son plus beau sourire en tentant désespérément de faire passer la valise entre les montants de la porte.	alessieux_1622219325738_25740-35036496	alessieux	Aidez-moi	Proposition	Aidez-moi	Montree	Base	Aucun	Tristesse	Aucune	aidez-mer
non	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1569-1731	Et elle a lancé à la prof un regard noir qui la pulvérisa, ne laissant sur le bureau qu’un petit tas de cendres… non, là, je prends mes désirs pour des réalités. 	alessieux_1622219714244_25740-35036496	alessieux	non	Interjection	non	Montree	Base	Aucun	Tristesse	Aucune	non
mecs	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1622220068592_25740-35036496	alessieux	mecs	SN	mecs	Montree	Base	Aucun	Colere	Aucune	mec
Non	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	non
mais	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	mais
tu	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	il
crois	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	croire
que	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	que
que	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	que
les	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	le
mecs	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1616067502994_25740-35036496	alessieux	« Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	Proposition	Non, mais ; tu crois que ; que les mecs	Montree	Base	Aucun	Colere	Aucune	mec
même	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1622219886921_25740-35036496	alessieux	même pas	SAdv	même pas	Montree	Base	Aucun	Tristesse	Aucune	même
pas	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1622219886921_25740-35036496	alessieux	même pas	SAdv	même pas	Montree	Base	Aucun	Tristesse	Aucune	pas
Merci	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1985-2125	Prenant ça pour elle, la prof s’est inclinée, mains jointes sur la poitrine, en répétant « Merci, merci, merci » comme une poupée mécanique.	alessieux_1616178244135_25740-35036496	alessieux	« Merci, merci, merci »	Accumulation	Merci, merci, merci	Montree	Complexe	Base	Fierte	Joie	merci
merci	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1985-2125	Prenant ça pour elle, la prof s’est inclinée, mains jointes sur la poitrine, en répétant « Merci, merci, merci » comme une poupée mécanique.	alessieux_1616178244135_25740-35036496	alessieux	« Merci, merci, merci »	Accumulation	Merci, merci, merci	Montree	Complexe	Base	Fierte	Joie	merci
merci	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1985-2125	Prenant ça pour elle, la prof s’est inclinée, mains jointes sur la poitrine, en répétant « Merci, merci, merci » comme une poupée mécanique.	alessieux_1616178244135_25740-35036496	alessieux	« Merci, merci, merci »	Accumulation	Merci, merci, merci	Montree	Complexe	Base	Fierte	Joie	merci
bouquins	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2125-2183	Puis elle a ouvert la valise et en a sorti… des bouquins. 	alessieux_1622220716281_25740-35036496	alessieux	des bouquins	SN	bouquins	Montree	Base	Base	Peur	Tristesse	bouquin
Des	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2183-2270	Des piles et des piles de bouquins qui ont bientôt couvert toute la surface du bureau. 	alessieux_1622220792032_25740-35036496	alessieux	Des piles et des piles	SN	Des piles et des piles	Montree	Base	Base	Peur	Tristesse	un
piles	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2183-2270	Des piles et des piles de bouquins qui ont bientôt couvert toute la surface du bureau. 	alessieux_1622220792032_25740-35036496	alessieux	Des piles et des piles	SN	Des piles et des piles	Montree	Base	Base	Peur	Tristesse	pile
et	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2183-2270	Des piles et des piles de bouquins qui ont bientôt couvert toute la surface du bureau. 	alessieux_1622220792032_25740-35036496	alessieux	Des piles et des piles	SN	Des piles et des piles	Montree	Base	Base	Peur	Tristesse	et
des	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2183-2270	Des piles et des piles de bouquins qui ont bientôt couvert toute la surface du bureau. 	alessieux_1622220792032_25740-35036496	alessieux	Des piles et des piles	SN	Des piles et des piles	Montree	Base	Base	Peur	Tristesse	un
piles	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2183-2270	Des piles et des piles de bouquins qui ont bientôt couvert toute la surface du bureau. 	alessieux_1622220792032_25740-35036496	alessieux	Des piles et des piles	SN	Des piles et des piles	Montree	Base	Base	Peur	Tristesse	pile
Désolée	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2668-2797	Désolée de vous avoir fait attendre, les mystères de l’administration ont retardé ma nomination officielle (nouveau petit rire). 	alessieux_1616081305734_25740-35036496	alessieux	Désolée	SN	Désolée	Montree	Complexe	Aucun	Embarras	Aucune	désolée
Vrai	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2939-3174	Vrai, j’ai senti les majuscules dans sa voix : elle a prononcé le mot en détachant chaque syllabe et en articulant exagérément chaque son, comme si elle suçait une olive et en recrachait ensuite le noyau, paf, direct dans son assiette.	alessieux_1622221592830_25740-35036496	alessieux	Vrai	SAdv	Vrai	Montree	Base	Aucun	Surprise	Aucune	vrai
blablablablablabla	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_3478-3511	Je résume : blablabla blablabla. 	alessieux_1616178956479_25740-35036496	alessieux	blablabla blablabla	Interjection	blablablablablabla	Montree	Base	Aucun	Tristesse	Aucune	blablablablablabla
pavé	FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_4264-4379	Un pavé a atterri sur ma table : La tête dans les mains, d’une certaine Maïa Chambriz, aux éditions Thomas Panier. 	alessieux_1622222923713_25740-35036496	alessieux	Un pavé	SN	pavé	Montree	Base	Base	Surprise	Tristesse	pavé
