Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
le	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_225-448	Les salariés ont décidé de cesser le travail deux jours par semaine jusqu’au mois de juin, pour protester contre une réforme que le président Emmanuel Macron veut mettre en place pour la SNCF et ses employés, les cheminots.	doltean_1616668240014_4913-0	doltean	cesser le travail	SPrep	cesser le travail	Comportementale	Base	Aucun	Colere	Aucune	le
travail	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_225-448	Les salariés ont décidé de cesser le travail deux jours par semaine jusqu’au mois de juin, pour protester contre une réforme que le président Emmanuel Macron veut mettre en place pour la SNCF et ses employés, les cheminots.	doltean_1616668240014_4913-0	doltean	cesser le travail	SPrep	cesser le travail	Comportementale	Base	Aucun	Colere	Aucune	travail
protester	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_225-448	Les salariés ont décidé de cesser le travail deux jours par semaine jusqu’au mois de juin, pour protester contre une réforme que le président Emmanuel Macron veut mettre en place pour la SNCF et ses employés, les cheminots.	doltean_1620206632406_4913-0	doltean	protester contre une réforme que le président Emmanuel Macron veut mettre en place pour la SNCF et ses employés, les cheminots	Proposition	protester	Comportementale	Base	Aucun	Colere	Aucune	protester
protestent	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2300-2357	Pourquoi les cheminots protestent-ils et font-ils grève ?	doltean_1616668519488_4913-0	doltean	protestent	Proposition	protestent	Comportementale	Base	Aucun	Colere	Aucune	protester
grève	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2300-2357	Pourquoi les cheminots protestent-ils et font-ils grève ?	doltean_1616668589672_4913-0	doltean	font grève	Proposition	grève	Comportementale	Base	Aucun	Colere	Aucune	grève
manifesté	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2359-2451	Le 22 mars, de nombreux cheminots ont fait grève et ont manifesté un peu partout en France. 	doltean_1616668698792_4913-0	doltean	ont manifesté	Proposition	manifesté	Comportementale	Base	Aucun	Colere	Aucune	manifester
grève	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2359-2451	Le 22 mars, de nombreux cheminots ont fait grève et ont manifesté un peu partout en France. 	doltean_1616668669547_4913-0	doltean	ont fait grève	Proposition	grève	Comportementale	Base	Aucun	Colere	Aucune	grève
supprimer	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2585-2939	En menant ces actions, les cheminots protestent contre la volonté d’Emmanuel Macron de vouloir supprimer leur statut spécial : le président français voudrait en effet que les nouvelles personnes embauchées à la SNCF soient considérées comme des salariés de n’importe quelle entreprise et ne bénéficient donc plus des avantages liés au statut de cheminot.	doltean_1617012625858_4913-0	doltean	contre la volonté d’Emmanuel Macron de vouloir supprimer leur statut spécial	Proposition	supprimer	Suggeree	Base	Aucun	Colere	Aucune	supprimer
protestent	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2585-2939	En menant ces actions, les cheminots protestent contre la volonté d’Emmanuel Macron de vouloir supprimer leur statut spécial : le président français voudrait en effet que les nouvelles personnes embauchées à la SNCF soient considérées comme des salariés de n’importe quelle entreprise et ne bénéficient donc plus des avantages liés au statut de cheminot.	doltean_1616668861558_4913-0	doltean	protestent contre la volonté d’Emmanuel Macron de vouloir supprimer leur statut spécial	Proposition	protestent	Comportementale	Base	Aucun	Colere	Aucune	protester
protestent	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_2941-3154	Les cheminots protestent aussi contre une réforme plus générale que le gouvernement veut mettre en place : actuellement, la SNCF est la seule entreprise autorisée à faire rouler des trains sur le réseau français. 	doltean_1616669026710_4913-0	doltean	protestent contre une réforme plus générale que le gouvernement veut mettre en place	Proposition	protestent	Comportementale	Base	Aucun	Colere	Aucune	protester
chers	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207248461_4913-0	doltean	les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	chers; mal entretenus; accidents	Suggeree	Base	Aucun	Colere	Aucune	cher
mal	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207248461_4913-0	doltean	les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	chers; mal entretenus; accidents	Suggeree	Base	Aucun	Colere	Aucune	mal
entretenus	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207248461_4913-0	doltean	les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	chers; mal entretenus; accidents	Suggeree	Base	Aucun	Colere	Aucune	entretenu
accidents	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207248461_4913-0	doltean	les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	chers; mal entretenus; accidents	Suggeree	Base	Aucun	Colere	Aucune	accident
se	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207226494_4913-0	doltean	se plaignent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	se plaignent	Comportementale	Base	Aucun	Colere	Aucune	se
plaignent	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1620207226494_4913-0	doltean	se plaignent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant	Proposition	se plaignent	Comportementale	Base	Aucun	Colere	Aucune	plaindre
mécontentements	Albert	4913-0	Albert34-A3_SNCF_en_reamenagement	4913-0_4454-4693	Ce mode de fonctionnement entraîne cependant des mécontentements de la part des usagers, qui se plaignent souvent que les billets restent chers, que les réseaux sont mal entretenus ou bien qu’il y a beaucoup plus d’accidents qu’auparavant.	doltean_1616669377930_4913-0	doltean	des mécontentements	SN	mécontentements	Designee	Base	Aucun	Colere	Aucune	mécontentement
réclamait	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_880-1139	Cette décision est une première depuis 12 ans et Nicolas Hulot, ex-président de la Fondation pour l’Homme et la nature, réclamait depuis déjà plusieurs années ces réintroductions, pour éviter ce qu’il appelle une « tragédie (…), la perte de la biodiversité ».	doltean_1620207883683_3039-0	doltean	réclamait ces réintroductions	Proposition	réclamait	Comportementale	Base	Aucun	Colere	Aucune	réclamer
contestée	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1443-1488	Une réintroduction contestée par les éleveurs	doltean_1616675084208_3039-0	doltean	contestée	Proposition	contestée	Comportementale	Base	Aucun	Colere	Aucune	contester
les	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	le
ours	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	our
ne	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	ne
s'attaquent	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	se
à	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	à
leurs	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	son
troupeaux	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689725999_3039-0	doltean	les ours ne s’attaquent à leurs troupeaux	Proposition	les ours ne s'attaquent à leurs troupeaux	Suggeree	Base	Aucun	Peur	Aucune	troupeau
craignent	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1616689675416_3039-0	doltean	craignent que les ours ne s’attaquent à leurs troupeaux	Proposition	craignent	Designee	Base	Aucun	Peur	Aucune	craindre
craint	Albert	3039-0	Albert35-A3_deux_nouveaux_ours_Pyrenees	3039-0_1791-2114	Pourtant, ces mesures sont loin de faire l’unanimité, notamment chez les éleveurs de la région, qui craignent que les ours ne s’attaquent à leurs troupeaux. À Arette, la commune où devraient être réintroduites les deux ourses cet automne, le maire craint pour les 4500 brebis et les 1000 vaches des exploitations alentour. 	doltean_1620208040054_3039-0	doltean	craint	Proposition	craint	Designee	Base	Aucun	Peur	Aucune	craindre
occupées	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_219-351	Or, les populations arabes qui peuplaient cette région n’ont pas apprécié de voir leurs terres occupées par ces nouveaux arrivants. 	doltean_1616690158771_5279-0	doltean	voir leurs terres occupées par ces nouveaux arrivants	Proposition	occupées	Suggeree	Base	Aucun	Colere	Aucune	occuper
apprécié	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_219-351	Or, les populations arabes qui peuplaient cette région n’ont pas apprécié de voir leurs terres occupées par ces nouveaux arrivants. 	doltean_1616689985588_5279-0	doltean	ont apprécié	Proposition	apprécié	Designee	Base	Aucun	Joie	Aucune	apprécier
tensions	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_351-456	Aujourd’hui, les tensions à la fois politiques et religieuses entre les deux peuples sont toujours vives.	doltean_1616690248266_5279-0	doltean	les tensions à la fois politiques et religieuses	SN	tensions	Suggeree	Base	Aucun	Colere	Aucune	tension
persécutés	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_547-694	Pendant la Seconde Guerre mondiale, qui s’est achevée en 1945, les Juifs d’Europe ont été particulièrement persécutés par le régime nazi d’Hitler. 	doltean_1616690916334_5279-0	doltean	ont été particulièrement persécutés	Proposition	persécutés	Suggeree	Base	Base	Colere	Peur	persécuter
guerre	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_1157-1286	Or, les peuples arabes, qui sont essentiellement musulmans, refusent ce partage : une guerre éclate alors entre les deux peuples.	doltean_1620208413071_5279-0	doltean	une guerre éclate	Proposition	guerre	Comportementale	Base	Aucun	Colere	Aucune	guerre
chassées	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_1392-1560	Les populations arabes qui vivent dans cette zone sont alors chassées de leurs villes et de leurs villages dès le lendemain, pour permettre aux Juifs de s’y installer. 	doltean_1616692251242_5279-0	doltean	sont chassées de leurs villes et de leurs villages	Proposition	chassées	Suggeree	Base	Base	Peur	Colere	chasser
rébellion	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_3605-3834	En arabe, le mot « intifada » signifie littéralement « soulèvement » et désigne une rébellion des populations arabes vis-à-vis d’Israël, qu’elles considèrent comme un régime politique oppresseur, qui les prive de leurs libertés. 	doltean_1616692443893_5279-0	doltean	une rébellion	SN	rébellion	Suggeree	Base	Aucun	Colere	Aucune	rébellion
oppresseur	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_3605-3834	En arabe, le mot « intifada » signifie littéralement « soulèvement » et désigne une rébellion des populations arabes vis-à-vis d’Israël, qu’elles considèrent comme un régime politique oppresseur, qui les prive de leurs libertés. 	doltean_1616692567178_5279-0	doltean	un régime politique oppresseur, qui les prive de leurs libertés	Proposition	oppresseur; les prive	Suggeree	Base	Aucun	Colere	Aucune	oppresseur
les	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_3605-3834	En arabe, le mot « intifada » signifie littéralement « soulèvement » et désigne une rébellion des populations arabes vis-à-vis d’Israël, qu’elles considèrent comme un régime politique oppresseur, qui les prive de leurs libertés. 	doltean_1616692567178_5279-0	doltean	un régime politique oppresseur, qui les prive de leurs libertés	Proposition	oppresseur; les prive	Suggeree	Base	Aucun	Colere	Aucune	le
prive	Albert	5279-0	Albert35-A3_Israel_Palestine_70_ans_guerre	5279-0_3605-3834	En arabe, le mot « intifada » signifie littéralement « soulèvement » et désigne une rébellion des populations arabes vis-à-vis d’Israël, qu’elles considèrent comme un régime politique oppresseur, qui les prive de leurs libertés. 	doltean_1616692567178_5279-0	doltean	un régime politique oppresseur, qui les prive de leurs libertés	Proposition	oppresseur; les prive	Suggeree	Base	Aucun	Colere	Aucune	priver
ils	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	il
ne	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	ne
revendiquent	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	revendiquer
un	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	un
jour	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	jour
son	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	son
trône	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751292880_2130-96350364	doltean	ils ne revendiquent un jour son trône	Proposition	ils ne revendiquent un jour son trône	Suggeree	Base	Aucun	Peur	Aucune	trône
craint	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_520-753	Alors qu’ils ne sont encore que des nouveau-nés, leur grand-oncle Amulius, roi de la cité d’Albe-la-Longue, craint qu’ils ne revendiquent un jour son trône : il ordonne ainsi de les faire jeter dans le Tibre, le fleuve de la région. 	doltean_1616751254972_2130-96350364	doltean	craint qu’ils ne revendiquent un jour son trône	Proposition	craint	Designee	Base	Aucun	Peur	Aucune	craindre
une	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_1571-1639	Une lutte s’engage alors entre eux, aboutissant à la mort de Rémus. 	doltean_1616752871235_2130-96350364	doltean	Une lutte s’engage	Proposition	une lutte s'engage	Comportementale	Base	Aucun	Colere	Aucune	un
lutte	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_1571-1639	Une lutte s’engage alors entre eux, aboutissant à la mort de Rémus. 	doltean_1616752871235_2130-96350364	doltean	Une lutte s’engage	Proposition	une lutte s'engage	Comportementale	Base	Aucun	Colere	Aucune	lutte
s'engage	Albert	2130-96350364	Albert35-A3_legende_fondation_Rome	2130-96350364_1571-1639	Une lutte s’engage alors entre eux, aboutissant à la mort de Rémus. 	doltean_1616752871235_2130-96350364	doltean	Une lutte s’engage	Proposition	une lutte s'engage	Comportementale	Base	Aucun	Colere	Aucune	se
avoir	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	avoir
été	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	être
condamné	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	condamner
par	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	par
le	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	le
tribunal	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	tribunal
à	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	à
régler	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	régler
une	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	un
amende	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	amende
de	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	de
500	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	500
euros	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753220042_526-38436156	doltean	avoir été condamné par le tribunal à régler une amende de 500 euros	Proposition	avoir été condamné par le tribunal à régler une amende de 500 euros	Suggeree	Base	Aucun	Colere	Aucune	euro
mécontentement	Albert	526-38436156	Albert35-A3_operation_pieces_rouges	526-38436156_24-232	À Bedous, un petit village des Pyrénées-Atlantiques, un homme a souhaité manifester à l’administration française son mécontentement, après avoir été condamné par le tribunal à régler une amende de 500 euros. 	doltean_1616753144804_526-38436156	doltean	mécontentement	SN	mécontentement	Designee	Base	Aucun	Colere	Aucune	mécontentement
